name*,version*,license*,vendor/community,end-of-support,dependencies,language
axis,1.4,Apache 2.0,,,,java
com.ibm.icu,50.1.1.v201304230130,EPL 1.0,,,,java
com.lowagie.text,2.1.7,EPL 1.0,,,,java
commons-cli,1.3.1,Apache 2.0,,,,java
commons-codec,1.11,Apache 2.0,,,,java
commons-discovery,0.5,Apache 2.0,,,,java
commons-logging,1.1.1,Apache 2.0,,,,java
derby,10.5.1000001,EPL 1.0,,,,java
dom4j,1.6.1,BSD 3-clause,,,,java
flute,1.3,,,,,java
javaee-web-api,8.0.1,"CDDL 1.0,GPL 2.0",,,,java
javax.wsdl,1.5.1,EPL 1.0,,,,java
javax.xml.stream,1.0.1.v201004272200,EPL 1.0,,,,java
log4j-api,2.13.3,Apache 2.0,,,,java
log4j-to-slf4j,2.13.3,Apache 2.0,,,,java
org.apache.batik.bridge,1.6.0,EPL 1.0,,,,java
org.apache.batik.css,1.6.0,EPL 1.0,,,,java
org.apache.batik.dom,1.6.0,EPL 1.0,,,,java
org.apache.batik.dom.svg,1.6.0,EPL 1.0,,,,java
org.apache.batik.ext.awt,1.6.0,EPL 1.0,,,,java
org.apache.batik.parser,1.6.0,EPL 1.0,,,,java
org.apache.batik.pdf,1.6.0,EPL 1.0,,,,java
org.apache.batik.svggen,1.6.0,EPL 1.0,,,,java
org.apache.batik.transcoder,1.6.0,EPL 1.0,,,,java
org.apache.batik.util,1.6.0,EPL 1.0,,,,java
org.apache.batik.util.gui,1.6.0,EPL 1.0,,,,java
org.apache.batik.xml,1.6.0,EPL 1.0,,,,java
org.apache.commons.codec,1.3.0,EPL 1.0,,,,java
org.apache.xerces,2.9.0,EPL 1.0,,,,java
org.apache.xml.resolver,1.2.0,EPL 1.0,,,,java
org.apache.xml.serializer,2.7.1,EPL 1.0,,,,java
org.eclipse.birt.runtime,4.4.2,EPL 1.0,,,,java
org.eclipse.core.contenttype,3.4.200.v20130326-1255,EPL 1.0,,,,java
org.eclipse.core.expressions,3.4.500.v20130515-1343,EPL 1.0,,,,java
org.eclipse.core.filesystem,1.4.0.v20130514-1240,EPL 1.0,,,,java
org.eclipse.core.jobs,3.6.1.v20141014-1248,EPL 1.0,,,,java
org.eclipse.core.resources,3.9.1.v20140825-1431,EPL 1.0,,,,java
org.eclipse.core.runtime,3.9.0.v20130326-1255,EPL 1.0,,,,java
org.eclipse.datatools.connectivity,1.2.11.v201401230755,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.apache.derby,1.0.103.v201212070447,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.apache.derby.dbdefinition,1.0.2.v201107221459,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.console.profile,1.0.10.v201109250955,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.db.generic,1.0.1.v201107221459,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.dbdefinition.genericJDBC,1.0.1.v201107221459,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.oda,3.4.3.v201405301249,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.oda.consumer,3.2.6.v201305170644,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.oda.design,3.3.6.v201212070447,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.oda.flatfile,3.1.8.v201403010906,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.oda.profile,3.2.9.v201403131814,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.sqm.core,1.2.8.v201401230755,EPL 1.0,,,,java
org.eclipse.datatools.enablement.hsqldb,1.0.0.v201107221502,EPL 1.0,,,,java
org.eclipse.datatools.enablement.hsqldb.dbdefinition,1.0.0.v201107221502,EPL 1.0,,,,java
org.eclipse.datatools.enablement.ibm.db2.luw,1.0.2.v201107221502,EPL 1.0,,,,java
org.eclipse.datatools.enablement.ibm.db2.luw.dbdefinition,1.0.4.v201107221502,EPL 1.0,,,,java
org.eclipse.datatools.enablement.ibm.informix,1.0.1.v201107221502,EPL 1.0,,,,java
org.eclipse.datatools.enablement.ibm.informix.dbdefinition,1.0.4.v201107221502,EPL 1.0,,,,java
org.eclipse.datatools.enablement.msft.sqlserver,1.0.2.v201212120617,EPL 1.0,,,,java
org.eclipse.datatools.enablement.msft.sqlserver.dbdefinition,1.0.1.v201201240505,EPL 1.0,,,,java
org.eclipse.datatools.enablement.mysql,1.0.4.v201212120617,EPL 1.0,,,,java
org.eclipse.datatools.enablement.mysql.dbdefinition,1.0.4.v201109022331,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oda.ws,1.2.6.v201403131825,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oda.xml,1.2.5.v201305031101,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oracle,1.0.0.v201107221506,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oracle.dbdefinition,1.0.103.v201206010214,EPL 1.0,,,,java
org.eclipse.datatools.enablement.postgresql,1.1.1.v201205252207,EPL 1.0,,,,java
org.eclipse.datatools.enablement.postgresql.dbdefinition,1.0.2.v201110070445,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.dbdefinition,1.0.2.v201107221519,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.derby,1.0.0.v201107221519,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.sql,1.0.6.v201208230744,EPL 1.0,,,,java
